ekatte_code,settlement_name_bg,settlement_name_en,settlement_type,oblast_code,oblast_name_bg,obshtina_name_bg,nuts3_code
12694,Върбенци,Varbentsi,село,KRZ,Кърджали,Кърджали,BG425
12704,Върбешница,Varbeshnitsa,село,VRC,Враца,Мездра,BG313
12718,Върбина,Varbina,село,SML,Смолян,Мадан,BG424
12721,Върбино,Varbino,село,SLS,Силистра,Дулово,BG325
12735,Върбица,Varbitsa,село,VTR,Велико Търново,Горна Оряховица,BG321
12749,Върбица,Varbitsa,село,VRC,Враца,Враца,BG313
12752,Върбица,Varbitsa,село,PVN,Плевен,Плевен,BG314
12766,Върбица,Varbitsa,град,SHU,Шумен,Върбица,BG333
12770,Върбница,Varbnitsa,село,SFO,София,Годеч,BG412
12783,Върбовка,Varbovka,село,VTR,Велико Търново,Павликени,BG321
12797,Върбово,Varbovo,село,VID,Видин,Чупрене,BG311
12807,Върбово,Varbovo,село,SML,Смолян,Смолян,BG424
12810,Върбово,Varbovo,село,HKV,Хасково,Харманли,BG422
12824,Върбовчец,Varbovchets,село,VID,Видин,Димово,BG311
12838,Върбяне,Varbyane,село,SHU,Шумен,Каспичан,BG333
12841,Въргов дол,Vargov dol,село,SML,Смолян,Мадан,BG424
12855,Вързилковци,Varzilkovtsi,село,VTR,Велико Търново,Елена,BG321
12869,Вързулица,Varzulitsa,село,VTR,Велико Търново,Полски Тръмбеш,BG321
12886,Върли дол,Varli dol,село,KRZ,Кърджали,Кирково,BG425
12896,Върли дол,Varli dol,село,SML,Смолян,Неделино,BG424
12913,Върлинка,Varlinka,село,VTR,Велико Търново,Велико Търново,BG321
12927,Върлино,Varlino,село,SML,Смолян,Неделино,BG424
12958,Въртоп,Vartop,село,VID,Видин,Видин,BG311
12961,Вършец,Varshets,град,MON,Монтана,Вършец,BG312
12975,Вършило,Varshilo,село,BGS,Бургас,Созопол,BG341
12989,Враненци,Vranentsi,село,PAZ,Пазарджик,Велинград,BG423
12992,Врата,Vrata,село,PDV,Пловдив,Асеновград,BG421
13055,Вълчанка,Valchanka,село,KRZ,Кърджали,Кирково,BG425
13069,Валевци,Valevtsi,село,GAB,Габрово,Севлиево,BG322
14012,Габаре,Gabare,село,VRC,Враца,Бяла Слатина,BG313
14026,Габарево,Gabarevo,село,SZR,Стара Загора,Павел баня,BG344
14034,Габер,Gaber,село,SFO,София,Драгоман,BG412
14043,Габер,Gaber,село,DOB,Добрич,Крушари,BG332
14057,Габерово,Gaberovo,село,BGS,Бургас,Поморие,BG341
14060,Габерово,Gaberovo,село,HKV,Хасково,Маджарово,BG422
14074,Габра,Gabra,село,SFO,София,Елин Пелин,BG412
14088,Габрака,Gabraka,село,VTR,Велико Търново,Елена,BG321
14091,Габрене,Gabrene,село,BLG,Благоевград,Петрич,BG413
14101,Габрешевци,Gabreshevtsi,село,KNL,Кюстендил,Трекляно,BG415
14115,Габрина,Gabrina,село,SML,Смолян,Мадан,BG424
14129,Габрица,Gabritsa,село,SML,Смолян,Смолян,BG424
14132,Габрица,Gabritsa,село,SHU,Шумен,Венец,BG333
14146,Габровдол,Gabrovdol,село,PER,Перник,Земен,BG414
14163,Габровица,Gabrovitsa,село,PAZ,Пазарджик,Белово,BG423
14180,Габровница,Gabrovnitsa,село,MON,Монтана,Монтана,BG312
14194,Габровница,Gabrovnitsa,село,SFO,София,Своге,BG412
14204,Габрово,Gabrovo,село,BLG,Благоевград,Благоевград,BG413
14218,Габрово,Gabrovo,град,GAB,Габрово,Габрово,BG322
14221,Габрово,Gabrovo,село,KRZ,Кърджали,Черноочене,BG425
14235,Габровци,Gabrovtsi,село,VTR,Велико Търново,Велико Търново,BG321
14249,Габър,Gabar,село,BGS,Бургас,Созопол,BG341
14252,Габърница,Gabarnitsa,село,VAR,Варна,Ветрино,BG331
14275,Гавраилово,Gavrailovo,село,SLV,Сливен,Сливен,BG342
14283,Гаврил Геново,Gavril Genovo,село,MON,Монтана,Георги Дамяново,BG312
14297,Гаганица,Gaganitsa,село,MON,Монтана,Берковица,BG312
14307,Гагово,Gagovo,село,TGV,Търговище,Попово,BG334
14310,Гайдари,Gaydari,село,GAB,Габрово,Трявна,BG322
14324,Гайкини,Gaykini,село,GAB,Габрово,Габрово,BG322
14338,Гайтанево,Gaytanevo,село,SFO,София,Горна Малина,BG412
14341,Гайтаниново,Gaytaninovo,село,BLG,Благоевград,Хаджидимово,BG413
14355,Гайтаните,Gaytanite,село,GAB,Габрово,Габрово,BG322
14369,Гайтанци,Gaytantsi,село,VID,Видин,Видин,BG311
14386,Галата,Galata,село,LOV,Ловеч,Тетевен,BG315
14390,Галатин,Galatin,село,VRC,Враца,Криводол,BG313
14406,Галиче,Galiche,село,VRC,Враца,Бяла Слатина,BG313
14413,Галище,Galishte,село,SML,Смолян,Мадан,BG424
14427,Галово,Galovo,село,VRC,Враца,Оряхово,BG313
14430,Ганев дол,Ganev dol,село,VTR,Велико Търново,Елена,BG321
14458,Ганчовец,Ganchovets,село,GAB,Габрово,Дряново,BG322
14461,Бов,Bov,село,SFO,София,Своге,BG412
14475,Лакатник,Lakatnik,село,SFO,София,Своге,BG412
14489,Орешец,Oreshets,село,VID,Видин,Димово,BG311
14492,Кресна,Kresna,град,BLG,Благоевград,Кресна,BG413
14516,Хитрино,Hitrino,село,SHU,Шумен,Хитрино,BG333
14521,Златарица,Zlataritsa,село,BLG,Благоевград,Белица,BG413
14533,Гарван,Garvan,село,GAB,Габрово,Габрово,BG322
14547,Гарван,Garvan,село,SLS,Силистра,Ситово,BG325
14550,Гарваново,Garvanovo,село,HKV,Хасково,Хасково,BG422
14578,Гащевци,Gashtevtsi,село,VTR,Велико Търново,Велико Търново,BG321
14581,Гега,Gega,село,BLG,Благоевград,Петрич,BG413
14605,Гела,Gela,село,SML,Смолян,Смолян,BG424
14619,Гелеменово,Gelemenovo,село,PAZ,Пазарджик,Пазарджик,BG423
14647,Генерал Гешево,General Geshevo,село,KRZ,Кърджали,Джебел,BG425
14653,Генерал Кантарджиево,General Kantardzhievo,село,VAR,Варна,Аксаково,BG331
14667,Генерал Киселово,General Kiselovo,село,VAR,Варна,Вълчи дол,BG331
14670,Генерал Колево,General Kolevo,село,VAR,Варна,Вълчи дол,BG331
14684,Генерал Колево,General Kolevo,село,DOB,Добрич,Добрич-селска,BG332
14698,Генерал Мариново,General Marinovo,село,VID,Видин,Видин,BG311
14708,Генералово,Generalovo,село,HKV,Хасково,Свиленград,BG422
14711,Генерал Тошево,General Toshevo,град,DOB,Добрич,Генерал Тошево,BG332
14725,Генерал Тошево,General Toshevo,село,JAM,Ямбол,Тунджа,BG343
14742,Геновци,Genovtsi,село,GAB,Габрово,Габрово,BG322
14756,Генчовци,Genchovtsi,село,GAB,Габрово,Габрово,BG322
14762,Геня,Genya,село,GAB,Габрово,Дряново,BG322
14773,Георги Дамяново,Georgi Damyanovo,село,MON,Монтана,Георги Дамяново,BG312
14787,Георги Добрево,Georgi Dobrevo,село,HKV,Хасково,Любимец,BG422
14800,Гергевец,Gergevets,село,SLV,Сливен,Сливен,BG342
14814,Гергини,Gergini,село,GAB,Габрово,Габрово,BG322
14831,Герман,German,село,SOF,София (столица),Столична,BG411
14859,Геша,Gesha,село,GAB,Габрово,Дряново,BG322
14862,Гешаново,Geshanovo,село,DOB,Добрич,Добрич-селска,BG332
